number,Temp,Humd,Press
1,21.29,62.92,1012.11
2,21.29,63.05,1012.75
3,21.28,63.11,1012.53
4,21.28,63.46,1012.63
5,21.27,63.53,1012.61
6,21.28,63.45,1012.7
7,21.29,63.74,1012.4
8,21.29,63.73,1012.68
9,21.28,64.09,1012.67
10,21.28,64.04,1012.65
11,21.28,63.97,1012.61
12,21.25,64.2,1012.59
13,21.25,64.57,1012.56
14,21.23,64.8,1012.61
15,21.21,64.9,1012.52
16,21.19,64.81,1012.43
17,21.18,65.05,1012.53
18,21.16,65.26,1012.58
19,21.15,65.33,1012.6
20,21.14,65.36,1012.6
21,21.12,65.35,1012.6
22,21.1,65.37,1012.54
23,21.09,65.43,1012.56
24,21.09,65.71,1012.9
25,21.07,65.98,1012.22
26,21.04,66.04,1012.57
27,21.01,66.27,1012.56
28,20.98,66.34,1012.55
29,20.95,66.46,1012.55
30,20.92,66.58,1012.63
31,20.89,66.72,1012.59
32,20.85,66.86,1012.64
33,20.82,67,1012.62
34,20.78,67.12,1012.6
35,20.74,67.24,1012.61
36,20.7,67.37,1012.59
37,20.66,67.49,1012.6
38,20.62,67.63,1012.61
39,20.58,67.74,1012.62
40,20.54,67.87,1012.64
41,20.5,67.99,1012.63
42,20.45,68.1,1012.64
43,20.41,68.22,1012.59
44,20.37,68.36,1012.62
45,20.33,68.47,1012.61
46,20.28,68.59,1012.58
47,20.25,68.72,1012.63
48,20.21,68.84,1012.62
49,20.18,68.98,1012.65
50,20.13,69.08,1012.6
51,20.09,69.2,1012.6
52,20.04,69.33,1012.62
53,20,69.44,1012.61
54,19.96,69.56,1012.61
55,19.93,69.67,1012.62
56,19.89,69.79,1012.6
57,19.85,69.88,1012.6
58,19.82,69.99,1012.61
59,19.78,70.1,1012.6
60,19.74,70.2,1012.59
61,19.7,70.3,1012.59
62,19.67,70.38,1012.62
63,19.64,70.48,1012.61
64,19.61,70.57,1012.62
65,19.58,70.67,1012.66
66,19.54,70.76,1012.66
67,19.51,70.84,1012.67
68,19.49,70.93,1012.63
69,19.46,71.02,1012.69
70,19.42,71.09,1012.7
71,19.38,71.18,1012.71
72,19.35,71.27,1012.67
73,19.33,71.35,1012.65
74,19.3,71.42,1012.65
75,19.27,71.51,1012.67
76,19.24,71.58,1012.71
77,19.21,71.66,1012.72
78,19.18,71.73,1012.7
79,19.16,71.8,1012.7
80,19.13,71.88,1012.68
81,19.11,71.95,1012.68
82,19.08,72.02,1012.66
83,19.04,72.08,1012.68
84,19.02,72.15,1012.7
85,19,72.22,1012.71
86,18.98,72.29,1012.69
87,18.95,72.35,1012.69
88,18.93,72.42,1012.69
89,18.91,72.47,1012.69
90,18.88,72.54,1012.73
91,18.86,72.6,1012.68
92,18.84,72.66,1012.73
93,18.82,72.72,1012.74
94,18.8,72.78,1012.77
95,18.78,72.85,1012.73
96,18.76,72.91,1012.78
97,18.72,72.95,1012.75
98,18.7,73.01,1012.75
99,18.68,73.06,1012.73
100,18.66,73.12,1012.74
101,18.64,73.18,1012.67
102,18.62,73.23,1012.72
103,18.61,73.29,1012.73
104,18.59,73.32,1012.74
105,18.57,73.38,1012.78
106,18.56,73.44,1012.73
107,18.53,73.49,1012.73
108,18.52,73.54,1012.75
109,18.5,73.59,1012.76
110,18.48,73.64,1012.78
111,18.46,73.68,1012.79
112,18.45,73.73,1012.75
113,18.43,73.78,1012.73
114,18.41,73.82,1012.76
115,18.4,73.86,1012.78
116,18.38,73.91,1012.78
117,18.36,73.96,1012.71
118,18.35,74,1012.75
119,18.33,74.05,1012.76
120,18.32,74.11,1012.76
121,18.31,74.15,1012.77
122,18.29,74.19,1012.74
123,18.29,74.21,1012.75
124,18.26,74.27,1012.79
125,18.26,74.3,1012.82
126,18.23,74.32,1012.81
127,18.22,74.38,1012.78
128,18.21,74.41,1012.77
129,18.2,74.46,1012.78
130,18.19,74.5,1012.83
131,18.16,74.54,1012.82
132,18.16,74.58,1012.8
133,18.15,74.61,1012.83
134,18.13,74.65,1012.77
135,18.12,74.67,1012.8
136,18.11,74.71,1012.76
137,18.09,74.75,1012.74
138,18.09,74.78,1012.76
139,18.07,74.81,1012.76
140,18.06,74.85,1012.71
141,18.05,74.88,1012.74
142,18.04,74.92,1012.74
143,18.03,74.95,1012.75
144,18.02,74.98,1012.73
145,18.01,75.02,1012.7
146,18,75.05,1012.7
147,17.99,75.08,1012.68
148,17.98,75.12,1012.72
149,17.97,75.14,1012.67
150,17.96,75.18,1012.68
151,17.95,75.21,1012.69
152,17.95,75.23,1012.68
153,17.93,75.27,1012.65
154,17.92,75.3,1012.64
155,17.92,75.33,1012.63
156,17.91,75.41,1012.64
157,17.89,75.45,1012.62
158,17.88,75.49,1012.58
159,17.88,75.54,1012.61
160,17.87,75.56,1012.61
161,17.86,75.59,1012.59
162,17.85,75.62,1012.6
163,17.84,75.65,1012.58
164,17.84,75.67,1012.59
165,17.83,75.7,1012.62
166,17.82,75.73,1012.6
167,17.81,75.76,1012.59
168,17.8,75.79,1012.56
169,17.79,75.81,1012.57
170,17.79,75.84,1012.54
171,17.78,75.87,1012.57
172,17.77,75.89,1012.56
173,17.76,75.92,1012.54
174,17.75,75.95,1012.54
175,17.74,75.97,1012.53
176,17.74,76,1012.55
177,17.73,76.03,1012.56
178,17.73,76.05,1012.54
179,17.71,76.08,1012.55
180,17.71,76.1,1012.53
181,17.71,76.14,1012.55
182,17.7,76.15,1012.56
183,17.7,76.17,1012.56
184,17.69,76.19,1012.58
185,17.68,76.22,1012.6
186,17.68,76.25,1012.6
187,17.66,76.27,1012.58
188,17.66,76.3,1012.57
