number,Temp,Humd,Press
1,18.55,86.08,1012.96
2,18.54,86.08,1012.95
3,18.54,86.08,1012.94
4,18.55,86.08,1012.97
5,18.55,86.08,1012.98
6,18.54,86.08,1012.93
7,18.54,86.08,1012.94
8,18.54,86.08,1012.95
9,18.55,86.08,1012.99
10,18.55,86.08,1013.01
11,18.54,86.08,1012.99
12,18.55,86.08,1012.94
13,18.55,86.08,1012.98
14,18.54,86.08,1013
15,18.54,86.08,1012.98
16,18.55,86.08,1012.96
17,18.54,86.07,1012.98
18,18.54,86.08,1012.99
19,18.55,86.08,1013.02
20,18.55,86.07,1013
21,18.55,86.08,1012.97
22,18.54,86.06,1012.97
23,18.55,86.07,1012.93
24,18.55,86.07,1012.97
25,18.54,86.07,1012.97
26,18.55,86.07,1012.96
27,18.54,86.07,1012.98
28,18.55,86.07,1012.98
29,18.54,86.07,1012.97
30,18.55,86.07,1012.96
31,18.55,86.07,1012.97
32,18.55,86.07,1013.02
33,18.55,86.07,1013.03
34,18.55,86.07,1013.03
35,18.55,86.07,1013.03
36,18.55,86.05,1013.01
37,18.55,86.07,1013
38,18.55,86.05,1012.99
39,18.54,86.05,1012.97
40,18.55,86.07,1013.01
41,18.55,86.05,1013
42,18.55,86.05,1013.02
43,18.55,86.05,1013.02
44,18.55,86.05,1013.02
45,18.55,86.05,1013
46,18.54,86.05,1012.99
47,18.55,86.05,1013.02
48,18.55,86.05,1012.98
49,18.55,86.05,1012.97
50,18.56,86.05,1013.05
51,18.55,86.04,1013.03
52,18.55,86.05,1013.05
53,18.55,86.04,1013.06
54,18.56,86.05,1013.06
55,18.55,86.04,1013.01
56,18.55,86.04,1013.06
57,18.55,86.04,1013.09
58,18.55,86.04,1013.04
59,18.55,86.04,1013.06
60,18.55,86.04,1013.03
61,18.55,86.04,1013.06
62,18.55,86.04,1013.05
63,18.55,86.04,1013.03
64,18.55,86.04,1013.06
65,18.55,86.04,1013.02
66,18.54,86.04,1013.04
67,18.55,86.04,1013.11
68,18.55,86.04,1013.06
69,18.55,86.03,1013.04
70,18.55,86.03,1013.04
71,18.55,86.03,1013
72,18.55,86.03,1013.05
73,18.55,86.02,1013.04
74,18.55,86.03,1013.06
75,18.55,86.03,1013.07
76,18.55,86.03,1013.03
77,18.56,86.04,1013.07
78,18.55,86.03,1013.09
